"ID","Gender","Age","Income","SpendingScore","Profession","Experience","FamilySize","normalized_Age","normalized_Income","normalized_SpendingScore","normalized_FamilySize","labels_kmeansmodel","Cluster_Kmeans_label_name"
1,"Male",19,15000,39,"Healthcare",1,4,-1.59196379934234,-2.03359738157893,-0.408343339978438,0.126191734516047,9,"Least valuable"
2,"Male",21,35000,81,"Engineer",3,3,-1.50824491362121,-1.60065600347547,1.10629111893666,-0.385944063957837,4,"Valuable - Young, 'Poor'"
3,"Female",20,86000,6,"Engineer",1,1,-1.55010435648178,-0.496655489311665,-1.59841327198316,-1.4102156609056,9,"Least valuable"
4,"Female",23,59000,77,"Lawyer",0,2,-1.42452602790007,-1.08112634975133,0.962040218087603,-0.89807986243172,4,"Valuable - Young, 'Poor'"
5,"Female",31,38000,40,"Entertainment",2,6,-1.08965048501552,-1.53571479675996,-0.372280614766174,1.15046333146381,8,"Less valuable - Young"
6,"Female",22,58000,76,"Artist",0,2,-1.46638547076064,-1.1027734186565,0.925977492875338,-0.89807986243172,4,"Valuable - Young, 'Poor'"
7,"Female",35,31000,6,"Healthcare",1,3,-0.922212713573247,-1.68724427909617,-1.59841327198316,-0.385944063957837,9,"Least valuable"
8,"Female",23,84000,94,"Healthcare",1,3,-1.42452602790007,-0.53994962712201,1.57510654669609,-0.385944063957837,4,"Valuable - Young, 'Poor'"
9,"Male",64,97000,3,"Engineer",0,3,0.291711129383243,-0.258537731354764,-1.70660144761995,-0.385944063957837,5,"Less valuable - Old"
10,"Female",30,98000,72,"Artist",1,4,-1.13150992787609,-0.236890662449592,0.781726592026281,0.126191734516047,4,"Valuable - Young, 'Poor'"
11,"Male",67,7000,14,"Engineer",1,3,0.417289457964949,-2.20677393282031,-1.30991147028504,-0.385944063957837,9,"Least valuable"
12,"Female",35,93000,99,"Healthcare",4,4,-0.922212713573247,-0.345126006975455,1.75542017275742,0.126191734516047,4,"Valuable - Young, 'Poor'"
13,"Female",58,80000,15,"Executive",0,5,0.0405544722198314,-0.626537902742701,-1.27384874507278,0.638327532989931,8,"Less valuable - Young"
14,"Female",24,91000,77,"Lawyer",1,1,-1.3826665850395,-0.388420144785801,0.962040218087603,-1.4102156609056,4,"Valuable - Young, 'Poor'"
15,"Male",37,19000,13,"Doctor",0,1,-0.83849382785211,-1.94700910595824,-1.34597419549731,-1.4102156609056,9,"Least valuable"
16,"Male",22,51000,79,"Healthcare",1,2,-1.46638547076064,-1.25430290099271,1.03416566851213,-0.89807986243172,4,"Valuable - Young, 'Poor'"
17,"Female",35,29000,35,"Homemaker",9,5,-0.922212713573247,-1.73053841690651,-0.552594240827495,0.638327532989931,8,"Less valuable - Young"
18,"Male",20,89000,66,"Healthcare",1,6,-1.55010435648178,-0.431714282596146,0.565350240752696,1.15046333146381,8,"Less valuable - Young"
19,"Male",52,20000,29,"Entertainment",1,4,-0.21060218494358,-1.92536203705307,-0.76897059210108,0.126191734516047,9,"Least valuable"
